iter	Passed	Remaining
0	146	146700
1	147	73685
2	148	49232
3	148	37003
4	149	29667
5	149	24774
6	150	21280
7	150	18658
8	150	16620
9	151	14988
10	151	13652
11	152	12543
12	152	11599
13	153	10789
14	153	10089
15	154	9476
16	154	8937
17	154	8454
18	155	8025
19	155	7639
20	156	7288
21	156	6970
22	157	6678
23	157	6412
24	158	6168
25	158	5941
26	159	5731
27	159	5536
28	159	5355
29	160	5185
30	160	5027
31	161	4878
32	161	4739
33	162	4609
34	162	4486
35	163	4369
36	163	4258
37	164	4154
38	164	4054
39	165	3960
40	165	3870
41	165	3784
42	166	3702
43	166	3625
44	167	3550
45	167	3479
46	168	3410
47	168	3344
48	169	3281
49	169	3221
50	170	3164
51	170	3108
52	170	3054
53	171	3002
54	171	2952
55	172	2905
56	172	2858
57	173	2812
58	173	2769
59	174	2726
60	174	2686
61	174	2647
62	175	2610
63	176	2574
64	176	2538
65	176	2503
66	177	2470
67	177	2437
68	178	2405
69	178	2375
70	179	2345
71	179	2316
72	180	2287
73	180	2260
74	181	2233
75	181	2207
76	182	2181
77	182	2158
78	183	2134
79	183	2111
80	184	2088
81	184	2065
82	184	2041
83	185	2019
84	185	1999
85	186	1979
86	186	1961
87	187	1943
88	188	1925
89	188	1908
90	189	1891
91	189	1874
92	190	1858
93	191	1842
94	191	1827
95	192	1812
96	193	1797
97	193	1781
98	193	1765
99	194	1750
100	194	1735
101	195	1720
102	195	1705
103	196	1691
104	196	1676
105	197	1663
106	197	1649
107	198	1636
108	198	1623
109	199	1610
110	199	1597
111	199	1585
112	200	1573
113	200	1560
114	201	1549
115	201	1537
116	202	1525
117	202	1514
118	203	1503
119	203	1492
120	203	1481
121	204	1470
122	204	1460
123	205	1450
124	205	1440
125	206	1430
126	206	1419
127	207	1410
128	207	1400
129	207	1391
130	208	1382
131	208	1373
132	209	1364
133	209	1356
134	210	1347
135	210	1338
136	211	1330
137	211	1322
138	212	1314
139	212	1305
140	213	1297
141	213	1289
142	213	1281
143	214	1273
144	214	1266
145	215	1258
146	215	1251
147	216	1244
148	216	1237
149	217	1230
150	217	1223
151	217	1216
152	218	1208
